1	11.077	2	0	6	4.1	16.81	1
2	11.835	2	0	6	4.4	19.36	1
3	11.225	2	0	4	4.6	21.16	1
4	11.835	2	0	6	4.4	19.36	1
5	11.835	2	0	6	4.4	19.36	1
6	11.350	2	0	6	3.0	9.00	1
7	11.835	2	0	6	4.4	19.36	1
8	10.960	0	0	12	2.6	6.76	1
9	11.077	2	0	6	4.1	16.81	1
10	11.080	2	2	6	2.7	7.29	1
11	10.660	2	0	6	3.1	9.61	1
12	10.870	2	0	6	3.3	10.89	1
13	10.914	0	0	6	5.5	30.25	1
14	11.085	4	1	6	3.2	10.24	1
15	11.347	2	0	6	4.8	23.04	1
16	10.870	0	0	6	4.4	19.36	1
17	10.770	2	0	6	3.2	10.24	1
18	11.220	2	0	6	3.8	14.44	1
19	11.355	2	0	6	4.3	18.49	1
20	11.222	0	0	4	5.4	29.16	1
21	11.354	1	0	6	5.5	30.25	1
22	10.773	3	0	6	3.1	9.61	1
23	10.963	1	0	6	2.8	7.84	1
24	10.865	2	0	6	3.4	11.56	1
25	10.868	1	0	12	3.0	9.00	1
26	11.827	2	0	11	4.6	21.16	1
27	11.077	2	0	12	3.6	12.96	1
28	11.457	1	0	6	3.2	10.24	1
29	10.865	2	0	6	4.6	21.16	1
30	10.773	7	0	6	4.5	20.25	1
31	10.963	2	0	4	3.0	9.00	1
32	10.963	0	0	1	5.4	29.16	1
33	11.225	0	0	1	5.0	25.00	1
34	10.513	2	0	6	3.9	15.21	1
35	11.080	2	0	6	3.5	12.25	1
36	11.225	1	0	6	4.1	16.81	1
37	11.350	1	0	6	4.5	20.25	1
38	11.083	1	0	6	3.1	9.61	1
39	10.957	2	0	6	2.7	7.29	1
40	11.083	2	0	11	3.1	9.61	1
41	11.083	3	0	4	5.6	31.36	1
42	10.653	2	0	6	4.5	20.25	1
43	11.353	0	0	6	1.7	2.89	1
44	10.963	3	1	6	2.5	6.25	1
45	10.870	2	0	6	4.5	20.25	1
46	10.764	0	0	6	4.7	22.09	1
47	11.080	2	1	6	2.7	7.29	1
48	11.832	1	0	6	3.2	10.24	1
49	11.347	2	0	15	3.7	13.69	1
50	11.082	2	0	6	3.5	12.25	1
51	11.832	1	0	6	4.1	16.81	1
52	11.463	2	0	15	3.7	13.69	1
53	11.355	1	0	6	3.9	15.21	1
54	11.460	3	0	6	4.1	16.81	1
55	10.870	1	1	6	3.5	12.25	1
56	11.353	1	1	6	2.7	7.29	1
57	11.080	2	0	6	4.3	18.49	1
58	11.460	2	0	6	3.9	15.21	1
59	11.225	1	1	6	3.5	12.25	1
60	11.085	1	0	4	5.1	26.01	1
61	10.765	2	0	6	4.3	18.49	1
62	11.713	1	0	6	4.3	18.49	1
63	11.085	1	0	6	4.4	19.36	1
64	11.355	2	0	6	4.3	18.49	1
65	11.582	0	0	12	2.1	4.41	1
66	11.085	1	0	15	4.3	18.49	1
67	10.765	1	0	6	4.1	16.81	1
68	11.355	2	0	6	4.3	18.49	1
69	11.830	1	0	15	4.3	18.49	1
70	11.083	2	0	6	3.8	14.44	1
71	11.084	4	0	6	5.0	25.00	1
72	12.053	1	0	6	4.7	22.09	1
