1	0.120091	1.8000	2.5000	6.2500	0	0	0	0	0	1	1
2	1.508512	1.2500	3.9500	15.6025	0	0	0	0	0	1	1
3	0.884800	1.5000	0.9000	0.8100	0	0	0	0	0	1	1
4	1.906575	1.2500	2.2500	5.0625	0	0	0	2	1	1	1
5	1.497478	2.2000	1.5000	2.2500	0	0	0	0	0	1	1
6	1.486502	1.4000	3.8000	14.4400	0	0	0	0	0	1	1
7	3.436342	1.6000	1.8000	3.2400	0	0	0	2	1	1	1
8	0.878173	1.2500	3.5500	12.6025	0	0	0	0	0	1	1
9	1.099612	1.2500	1.4500	2.1025	0	0	1	1	0	1	1
10	1.469808	1.5000	0.9000	0.8100	0	0	0	0	0	1	1
11	0.782622	1.6000	0.7000	0.4900	0	0	0	0	0	1	1
12	0.955896	1.5000	1.0000	1.0000	0	0	1	1	1	1	1
13	1.504077	1.6000	2.4000	5.7600	0	0	0	2	1	1	1
14	1.734219	0.7500	3.3500	11.2225	0	0	0	2	1	1	1
15	1.004448	1.6000	2.5000	6.2500	0	0	0	1	0	1	1
16	0.960882	1.4000	2.5000	6.2500	0	0	0	0	0	1	1
17	1.324472	1.2500	1.5500	2.4025	0	0	0	2	1	1	1
18	1.523226	1.2500	4.2500	18.0625	0	0	0	0	1	1	1
19	0.557614	1.2500	2.0500	4.2025	0	0	0	2	0	1	1
20	1.210154	1.2500	3.9500	15.6025	0	0	0	0	1	1	1
21	0.851859	1.4000	1.0000	1.0000	0	0	2	0	1	1	1
22	2.110528	1.2500	2.6500	7.0225	0	0	0	2	0	1	1
23	1.340015	1.2500	1.9500	3.8025	0	0	0	2	1	1	1
24	1.275363	1.5000	2.4000	5.7600	0	0	0	0	0	1	1
25	1.762605	1.5000	1.4000	1.9600	0	0	0	2	1	1	1
26	0.907452	0.9000	3.1000	9.6100	0	0	0	0	1	1	1
27	2.032088	1.6000	2.8000	7.8400	0	0	0	0	1	1	1
28	0.737260	1.6000	1.4000	1.9600	0	0	0	0	0	1	1
29	1.210034	1.5000	2.5000	6.2500	0	0	0	0	0	1	1
30	0.548121	1.6000	1.4000	1.9600	0	0	1	0	0	1	1
31	0.770108	1.4000	0.6000	0.3600	0	1	1	0	0	1	1
32	3.449133	1.5000	3.1000	9.6100	0	0	0	0	1	1	1
33	1.376799	1.5000	1.4000	1.9600	0	0	1	1	0	1	1
34	3.423425	1.6000	3.6000	12.9600	0	0	0	0	1	1	1
35	0.862890	1.6000	1.6000	2.5600	0	0	0	1	0	1	1
36	0.875469	1.6000	2.0000	4.0000	0	0	0	2	1	1	1
37	1.968775	1.4000	1.7000	2.8900	0	0	0	2	1	1	1
38	-0.180324	1.2500	1.8500	3.4225	0	0	0	2	0	1	1
39	2.036116	1.6000	1.5000	2.2500	0	0	0	0	0	1	1
40	2.160376	1.2500	3.1500	9.9225	0	0	0	0	0	1	1
41	1.361489	1.2500	3.4500	11.9025	0	0	0	0	1	1	1
42	1.619428	1.5000	3.7000	13.6900	0	0	0	0	1	1	1
43	1.032722	1.4000	4.2000	17.6400	0	0	0	0	0	1	1
44	2.034222	1.2500	4.2500	18.0625	0	0	0	0	1	1	1
45	1.139978	1.5000	2.9000	8.4100	0	0	0	1	1	1	1
46	1.470268	1.2500	2.0500	4.2025	0	0	0	2	1	1	1
47	0.395078	1.2500	2.2500	5.0625	0	0	0	2	0	1	1
48	1.366041	1.2500	1.9500	3.8025	0	0	0	2	1	1	1
49	2.334084	1.6000	2.7000	7.2900	0	0	0	0	1	1	1
50	0.635094	1.2000	3.7000	13.6900	0	0	0	0	0	1	1
51	1.623577	1.6000	1.9000	3.6100	0	0	0	1	1	1	1
52	0.951194	1.4000	2.1000	4.4100	0	0	0	0	0	1	1
53	0.582048	1.6000	2.8000	7.8400	0	0	0	0	0	1	1
